country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
State Of Palestine,Asia,580165,5326.0,571646.0,3193.0,46.0,109396,1004.0,3078533.0,580487.0,5303360
Sudan,Africa,61775,4888.0,,,,1355,107.0,562941.0,12347.0,45592705
Suriname,South America,78893,1322.0,49368.0,28203.0,,132462,2220.0,233382.0,391851.0,595589
Swaziland,Africa,69527,1392.0,68077.0,58.0,11.0,58890,1179.0,488858.0,414064.0,1180634
Sweden,Europe,2473707,17961.0,2396572.0,59174.0,42.0,242364,1760.0,18342988.0,1797171.0,10206588
Switzerland,Europe,3226333,13460.0,2590658.0,622215.0,144.0,368198,1536.0,19635312.0,2240838.0,8762485
Syria,Asia,55488,3122.0,50568.0,1798.0,,3045,171.0,146269.0,8026.0,18224577
Taiwan,Asia,21658,853.0,19520.0,1285.0,,907,36.0,12240651.0,512370.0,23890245
Tajikistan,Asia,17388,124.0,17264.0,0.0,,1756,13.0,,,9902463
Tanzania,Africa,33773,800.0,,,7.0,539,13.0,,,62630753
Thailand,Asia,3303169,24078.0,3048491.0,230600.0,687.0,47122,343.0,17270775.0,246379.0,70098489
Timor Leste,Asia,22789,129.0,22596.0,64.0,9.0,16742,95.0,252951.0,185827.0,1361218
Togo,Africa,36871,272.0,36542.0,57.0,,4283,32.0,707053.0,82128.0,8609136
Tonga,Australia/Oceania,2788,2.0,964.0,1822.0,,25878,19.0,84463.0,783981.0,107736
Trinidad And Tobago,North America,134272,3700.0,119799.0,10773.0,18.0,95417,2629.0,657641.0,467336.0,1407212
Tunisia,Africa,1029762,28065.0,983630.0,18067.0,74.0,85604,2333.0,4475031.0,372009.0,12029351
Turkey,Asia,14644382,96954.0,14271428.0,276000.0,975.0,170510,1129.0,149811965.0,1744322.0,85885515
Turks And Caicos Islands,North America,5874,36.0,5808.0,30.0,4.0,148300,909.0,419792.0,10598399.0,39609
Uganda,Africa,163560,3595.0,100129.0,59836.0,9.0,3393,75.0,2513469.0,52147.0,48199801
UK,Europe,20001627,163386.0,18507001.0,1331240.0,281.0,292021,2385.0,494375963.0,7217824.0,68493770
Ukraine,Europe,4922901,107412.0,,,177.0,113730,2481.0,19521252.0,450983.0,43285970
United Arab Emirates,Asia,886687,2302.0,854007.0,30378.0,,87843,228.0,143872681.0,14253263.0,10094017
Uruguay,South America,871081,7120.0,854061.0,9900.0,54.0,249290,2038.0,5858748.0,1676684.0,3494248
USA,North America,81350883,996072.0,56822580.0,23532231.0,3471.0,243339,2979.0,969701073.0,2900599.0,334310610
Uzbekistan,Asia,237414,1637.0,234932.0,845.0,23.0,6923,48.0,1377915.0,40178.0,34295617
Vanuatu,Australia/Oceania,473,1.0,59.0,413.0,2.0,1481,3.0,24976.0,78205.0,319367
Venezuela,South America,519245,5664.0,510385.0,3196.0,230.0,18349,200.0,3359014.0,118699.0,28298621
Viet Nam,Asia,7174423,41683.0,3685988.0,3446752.0,4435.0,72593,422.0,82126716.0,830981.0,98831073
Wallis And Futuna Islands,Australia/Oceania,454,7.0,438.0,9.0,,41636,642.0,20508.0,1880778.0,10904
Western Sahara,Africa,10,1.0,8.0,1.0,,16,2.0,,,622347
Yemen,Asia,11797,2140.0,8908.0,749.0,23.0,381,69.0,265253.0,8572.0,30944676
Zambia,Africa,315623,3962.0,310706.0,955.0,1.0,16387,206.0,3322571.0,172507.0,19260476
Zimbabwe,Africa,244012,5420.0,233461.0,5131.0,12.0,16020,356.0,2149854.0,141145.0,15231547
